ID,Work Item Type,Title,State,Priority,Tags,Area Path,Iteration Path,Assigned To,Description,Acceptance Criteria,Custom.Modulo,Custom.Layer,Custom.Gate,Custom.ADRs,Custom.GMUD,Custom.Slug
,User Story,M2-TSK — tasks.md query-endpoint,Rascunho,1,tasks;m2;dev-sr,NovaTech Assistant,NovaTech Assistant\Sprint 1,Dev Sênior,"Tasks atômicas para implementação do query endpoint. Incluir tasks específicas para: validação de input (Zod), integração AI Search, montagem do prompt com context budget, integração GPT-4o, resposta com fonte, tratamento de erros e logs estruturados.","Tasks rastreáveis ao plan. Testes de integração e acurácia RAG incluídos. Aprovado por TL e QA.",M2,tasks,Bloqueado — requer M2-PLN aprovado,ADR-0001;ADR-0002;ADR-0003,,query-endpoint
,User Story,M3-REQ — requirements.md feedback-api,Rascunho,2,requirements;m3;ps,NovaTech Assistant,NovaTech Assistant\Sprint 2,PS (Product Specialist),"Escrever specs/feedback-api/requirements.md. Cobrir: submissão de feedback (resposta incorreta/incompleta/irrelevante), persistência no Cosmos DB, confirmação ao atendente, uso posterior nos ciclos de avaliação do RAG.","RFs com critérios verificáveis. RNF de latência (< 500ms). Status Em Revisão após PR.",M3,requirements,Pendente — Gate 1: TL,ADR-0001,,feedback-api
,User Story,M3-PLN — plan.md feedback-api,Rascunho,2,plan;m3;tl,NovaTech Assistant,NovaTech Assistant\Sprint 2,TL (Tech Lead),Escrever specs/feedback-api/plan.md. Componentes: handler.ts e validator.ts. Persistência via Cosmos DB. Esquema do documento de feedback com campos: queryId sessionId feedbackType timestamp atendente.,Interface TypeScript do feedback document. Cosmos DB container definido. Aprovado por PS e Dev Sr.,M3,plan,Bloqueado — requer M3-REQ aprovado,ADR-0001,,feedback-api
,User Story,M3-TSK — tasks.md feedback-api,Rascunho,2,tasks;m3;dev-pl,NovaTech Assistant,NovaTech Assistant\Sprint 2,Dev Pleno,Tasks atômicas para feedback-api. Módulo de onboarding para Dev Pleno — escopo simples e bem delimitado. Inclui validação de input com Zod e persistência no Cosmos DB.,"Tasks com critério de done. Testes unitários sem chamadas externas (mocks). Aprovado por TL e QA.",M3,tasks,Bloqueado — requer M3-PLN aprovado,ADR-0001,,feedback-api
,User Story,M4-REQ — requirements.md teams-bot,Rascunho,1,requirements;m4;ps;design,NovaTech Assistant,NovaTech Assistant\Sprint 2,PS (Product Specialist),"Escrever specs/teams-bot/requirements.md. Wireframes do Claude Design obrigatórios antes de iniciar. Cobrir: envio de pergunta pelo Teams, exibição de resposta com Adaptive Card, botão de feedback inline, histórico de sessão (3 turnos).","Wireframes anexados e referenciados no documento. RFs com critérios verificáveis. Status Em Revisão após PR.",M4,requirements,Pendente — Gate 1: TL,ADR-0001,,teams-bot
,User Story,M4-PLN — plan.md teams-bot,Rascunho,1,plan;m4;tl,NovaTech Assistant,NovaTech Assistant\Sprint 2,TL (Tech Lead),"Escrever specs/teams-bot/plan.md. Componentes: bot.ts (lógica principal), response-card.ts e feedback-card.ts (Adaptive Cards). Integração com query-endpoint (M2) via chamada HTTP interna.","Interfaces dos Adaptive Cards definidas. Fluxo de integração com M2 mapeado. Aprovado por PS e Dev Sr.",M4,plan,Bloqueado — requer M4-REQ aprovado,ADR-0001,,teams-bot
,User Story,M4-TSK — tasks.md teams-bot,Rascunho,1,tasks;m4;dev-pl,NovaTech Assistant,NovaTech Assistant\Sprint 2,Dev Pleno,"Tasks atômicas para o bot do Teams. Inclui tasks para: configuração do Bot Framework, lógica de conversação, geração de Adaptive Cards, integração com query-endpoint e feedback-api.","Tasks rastreáveis ao plan. Testes com mock do Bot Framework. Aprovado por TL e QA.",M4,tasks,Bloqueado — requer M4-PLN aprovado,ADR-0001,,teams-bot
,User Story,M5-REQ — requirements.md painel-web,Rascunho,3,requirements;m5;ps,NovaTech Assistant,NovaTech Assistant\Sprint 3,PS (Product Specialist),"Escrever specs/painel-web/requirements.md. Cobrir: métricas de uso (consultas/dia, tempo médio, distribuição por categoria), histórico de consultas com filtros, acurácia por período, visualização de feedbacks.","RFs com critérios verificáveis. Wireframes do Claude Design anexados. Status Em Revisão após PR.",M5,requirements,Nenhum — baixa prioridade,ADR-0001,,painel-web
,User Story,M5-PLN — plan.md painel-web,Rascunho,3,plan;m5;tl,NovaTech Assistant,NovaTech Assistant\Sprint 3,TL (Tech Lead),"Escrever specs/painel-web/plan.md. Componentes React em src/web/. Fonte de dados: Cosmos DB via Azure Functions. Definir: estrutura de componentes, queries de métricas, autenticação.","Componentes React com interfaces TypeScript. Fluxo de dados definido. Aprovado por PS e Dev Sr.",M5,plan,Bloqueado — requer M5-REQ aprovado,ADR-0001,,painel-web
,User Story,M5-TSK — tasks.md painel-web,Rascunho,3,tasks;m5;dev-pl,NovaTech Assistant,NovaTech Assistant\Sprint 3,Dev Pleno,"Tasks atômicas para o painel React. Inclui: setup do projeto web, componentes de métricas, páginas de histórico e feedback, integração com API, testes de componentes.","Tasks rastreáveis ao plan. Testes de componentes React. Aprovado por TL e QA.",M5,tasks,Bloqueado — requer M5-PLN aprovado,ADR-0001,,painel-web
